"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Source"
"Volovetskyi V.B.; Doroshenko Y.V.; Matkivskyi S.V.; Raiter P.M.; Shchyrba O.M.; Stetsiuk S.M.; Protsiuk H.Ya.","Volovetskyi, V.B. (57219307755); Doroshenko, Ya.V. (57216755620); Matkivskyi, S.V. (57211245613); Raiter, P.M. (56308380000); Shchyrba, O.M. (57219316232); Stetsiuk, S.M. (58065486600); Protsiuk, H.Ya. (57188568369)","57219307755; 57216755620; 57211245613; 56308380000; 57219316232; 58065486600; 57188568369","Development of methods for predicting hydrate formation in gas storage facilities and measures for their prevention and elimination","2023","0","10.5604/01.3001.0053.5955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160217602&doi=10.5604%2f01.3001.0053.5955&partnerID=40&md5=1167890e1d65a6d5966ad69d59f3c723","Branch R&D Institute of Gas Transportation Joint Stock Company “Ukrtransgaz”, 16 Koneva str, Kharkiv, Ukraine; Department of Oil and Gas Pipelines and Storage Facilities, Institute of Petroleum Engineering, Ivano-Frankivsk National Technical University of Oil and Gas, 15 Karpatska str, Ivano-Frankivsk, Ukraine; Joint Stock Company “Ukrgasvydobuvannya”, 26/28 Kudriavska str, Kyiv, Ukraine; Department of Energy Management and Technical Diagnostics, Institute of Architecture, Construction and Power Engineering, Ivano-Frankivsk National Technical University of Oil and Gas, 15 Karpatska str, Ivano-Frankivsk, Ukraine; Branch Ukrainian Scientific Research Institute of Natural Gases Joint Stock Company “Ukrgasvydobuvannya”, 20 Himnaziina Naberezhna str, Kharkiv, Ukraine; Department of Applied Mathematics, Institute of Information Technologies, Ivano-Frankivsk National Technical University of Oil and Gas, 15 Karpatska str, Ivano-Frankivsk, Ukraine","Volovetskyi V.B., Branch R&D Institute of Gas Transportation Joint Stock Company “Ukrtransgaz”, 16 Koneva str, Kharkiv, Ukraine; Doroshenko Y.V., Department of Oil and Gas Pipelines and Storage Facilities, Institute of Petroleum Engineering, Ivano-Frankivsk National Technical University of Oil and Gas, 15 Karpatska str, Ivano-Frankivsk, Ukraine; Matkivskyi S.V., Joint Stock Company “Ukrgasvydobuvannya”, 26/28 Kudriavska str, Kyiv, Ukraine; Raiter P.M., Department of Energy Management and Technical Diagnostics, Institute of Architecture, Construction and Power Engineering, Ivano-Frankivsk National Technical University of Oil and Gas, 15 Karpatska str, Ivano-Frankivsk, Ukraine; Shchyrba O.M., Branch Ukrainian Scientific Research Institute of Natural Gases Joint Stock Company “Ukrgasvydobuvannya”, 20 Himnaziina Naberezhna str, Kharkiv, Ukraine; Stetsiuk S.M., Branch Ukrainian Scientific Research Institute of Natural Gases Joint Stock Company “Ukrgasvydobuvannya”, 20 Himnaziina Naberezhna str, Kharkiv, Ukraine; Protsiuk H.Ya., Department of Applied Mathematics, Institute of Information Technologies, Ivano-Frankivsk National Technical University of Oil and Gas, 15 Karpatska str, Ivano-Frankivsk, Ukraine","Article","Scopus"
"Danilyan O.; Dzоban O.; Kalynovskyi Y.","Danilyan, Oleg (57224542007); Dzоban, Olexander (57202917566); Kalynovskyi, Yurii (57202918400)","57224542007; 57202917566; 57202918400","DIGITAL MAN AS A PRODUCT OF THE INFORMATION SOCIETY","2023","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163554125&partnerID=40&md5=c8e37e316ca33f0c4f7fb1a299bad207","The Department of Phylosophy, Yaroslav Mudryi National Law University, Kharkiv, Ukraine","Danilyan O., The Department of Phylosophy, Yaroslav Mudryi National Law University, Kharkiv, Ukraine; Dzоban O., The Department of Phylosophy, Yaroslav Mudryi National Law University, Kharkiv, Ukraine; Kalynovskyi Y., The Department of Phylosophy, Yaroslav Mudryi National Law University, Kharkiv, Ukraine","Article","Scopus"
"Mehta A.; Kumar H.; Yazji K.; Wireko A.A.; Sivanandan Nagarajan J.; Ghosh B.; Nahas A.; Morales Ojeda L.; Anand A.; Sharath M.; Huang H.; Garg T.; Isik A.","Mehta, Aashna (57576064000); Kumar, Harendra (57618679600); Yazji, Katia (57226271017); Wireko, Andrew A. (57258667000); Sivanandan Nagarajan, Jai (58202841700); Ghosh, Bikona (57989739200); Nahas, Ahmad (58202868500); Morales Ojeda, Luis (58199980100); Anand, Ayush (57226559024); Sharath, Medha (57374549400); Huang, Helen (57578256800); Garg, Tulika (57852440400); Isik, Arda (57159146500)","57576064000; 57618679600; 57226271017; 57258667000; 58202841700; 57989739200; 58202868500; 58199980100; 57226559024; 57374549400; 57578256800; 57852440400; 57159146500","Effectiveness of artificial intelligence-assisted colonoscopy in early diagnosis of colorectal cancer: a systematic review","2023","1","10.1097/JS9.0000000000000285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153899052&doi=10.1097%2fJS9.0000000000000285&partnerID=40&md5=e99bc3ace358e8113833c105521b9713","Faculty of Medicine, University of Debrecen, Debrecen, Hungary; Dow University of Health Sciences, Karachi, Pakistan; RCSI University of Medicine and Health Sciences, Dublin, Ireland; Sumy State University, Sumy, Ukraine; SRM College Hospital and Research Centre Los Angeles; Dhaka Medical College and Hospital, Dhaka, Bangladesh; Institute of Urology, University of Southern California, United States; BP Koirala Institute of Health Sciences, Dharan, Nepal; Bangalore Medical College and Research Institute, Bangalore, Karnataka, India; Government Medical College and Hospital, Chandigarh, Punjab, India; Department of General Surgery, Istanbul Medeniyet University, Istanbul, Turkey","Mehta A., Faculty of Medicine, University of Debrecen, Debrecen, Hungary; Kumar H., Dow University of Health Sciences, Karachi, Pakistan; Yazji K., RCSI University of Medicine and Health Sciences, Dublin, Ireland; Wireko A.A., Sumy State University, Sumy, Ukraine; Sivanandan Nagarajan J., SRM College Hospital and Research Centre Los Angeles; Ghosh B., Dhaka Medical College and Hospital, Dhaka, Bangladesh; Nahas A., Faculty of Medicine, University of Debrecen, Debrecen, Hungary; Morales Ojeda L., Institute of Urology, University of Southern California, United States; Anand A., BP Koirala Institute of Health Sciences, Dharan, Nepal; Sharath M., Bangalore Medical College and Research Institute, Bangalore, Karnataka, India; Huang H., RCSI University of Medicine and Health Sciences, Dublin, Ireland; Garg T., Government Medical College and Hospital, Chandigarh, Punjab, India; Isik A., Department of General Surgery, Istanbul Medeniyet University, Istanbul, Turkey","Article","Scopus"
"Makra L.; Matyasovszky I.; Tusnády G.; Ziska L.H.; Hess J.J.; Nyúl L.G.; Chapman D.S.; Coviello L.; Gobbi A.; Jurman G.; Furlanello C.; Brunato M.; Damialis A.; Charalampopoulos A.; Müller-Schärer H.; Schneider N.; Szabó B.; Sümeghy Z.; Páldy A.; Magyar D.; Bergmann K.-C.; Deák Á.J.; Mikó E.; Thibaudon M.; Oliver G.; Albertini R.; Bonini M.; Šikoparija B.; Radišić P.; Josipović M.M.; Gehrig R.; Severova E.; Shalaboda V.; Stjepanović B.; Ianovici N.; Berger U.; Seliger A.K.; Rybníček O.; Myszkowska D.; Dąbrowska-Zapart K.; Majkowska-Wojciechowska B.; Weryszko-Chmielewska E.; Grewling Ł.; Rapiejko P.; Malkiewicz M.; Šaulienė I.; Prykhodo O.; Maleeva A.; Rodinkova V.; Palamarchuk O.; Ščevková J.; Bullock J.M.","Makra, László (6603104541); Matyasovszky, István (6603700244); Tusnády, Gábor (57188791676); Ziska, Lewis H. (7004672190); Hess, Jeremy J. (22834835300); Nyúl, László G. (6701708246); Chapman, Daniel S. (15753693400); Coviello, Luca (57210358702); Gobbi, Andrea (56355346300); Jurman, Giuseppe (6602367398); Furlanello, Cesare (6701821823); Brunato, Mauro (8684920500); Damialis, Athanasios (6507760967); Charalampopoulos, Athanasios (55613624200); Müller-Schärer, Heinz (7003298178); Schneider, Norbert (58493486900); Szabó, Bence (58493670600); Sümeghy, Zoltán (14037939300); Páldy, Anna (6603712257); Magyar, Donát (55905497900); Bergmann, Karl-Christian (35429595700); Deák, Áron József (26322967900); Mikó, Edit (57191979772); Thibaudon, Michel (7003888350); Oliver, Gilles (25929547100); Albertini, Roberto (7103319453); Bonini, Maira (36160374000); Šikoparija, Branko (8678884500); Radišić, Predrag (8678884600); Josipović, Mirjana Mitrović (57214775449); Gehrig, Regula (8554145000); Severova, Elena (7005310027); Shalaboda, Valentina (6504420495); Stjepanović, Barbara (18438604600); Ianovici, Nicoleta (36010713700); Berger, Uwe (7101877010); Seliger, Andreja Kofol (57120039500); Rybníček, Ondřej (6602940608); Myszkowska, Dorota (6507330344); Dąbrowska-Zapart, Katarzyna (54929817300); Majkowska-Wojciechowska, Barbara (21739692100); Weryszko-Chmielewska, Elzbieta (56385879900); Grewling, Łukasz (35329505100); Rapiejko, Piotr (56178892100); Malkiewicz, Malgorzata (6602276960); Šaulienė, Ingrida (15066064700); Prykhodo, Olexander (58493670700); Maleeva, Anna (57119440600); Rodinkova, Victoria (56507457400); Palamarchuk, Olena (57194228359); Ščevková, Jana (35175345900); Bullock, James M. (25637135400)","6603104541; 6603700244; 57188791676; 7004672190; 22834835300; 6701708246; 15753693400; 57210358702; 56355346300; 6602367398; 6701821823; 8684920500; 6507760967; 55613624200; 7003298178; 58493486900; 58493670600; 14037939300; 6603712257; 55905497900; 35429595700; 26322967900; 57191979772; 7003888350; 25929547100; 7103319453; 36160374000; 8678884500; 8678884600; 57214775449; 8554145000; 7005310027; 6504420495; 18438604600; 36010713700; 7101877010; 57120039500; 6602940608; 6507330344; 54929817300; 21739692100; 56385879900; 35329505100; 56178892100; 6602276960; 15066064700; 58493670700; 57119440600; 56507457400; 57194228359; 35175345900; 25637135400","A temporally and spatially explicit, data-driven estimation of airborne ragweed pollen concentrations across Europe","2023","0","10.1016/j.scitotenv.2023.167095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173022583&doi=10.1016%2fj.scitotenv.2023.167095&partnerID=40&md5=44bd53ec898dec5e85fae635add96e7f","Institute of Economics and Rural Development, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Department of Meteorology, Eötvös Loránd University, P.O.B. 32, Budapest, 1518, Hungary; Alfréd Rényi Institute of Mathematics, P.O.B 127, Budapest, 1364, Hungary; Mailman School of Public Health, Columbia University, New York, 10032, NY, United States; Department of Global Health, University of Washington, Seattle, 98105, WA, United States; Department of Image Processing and Computer Graphics, University of Szeged, P.O.B. 652, Szeged, 6701, Hungary; Biological and Environmental Sciences, Faculty of Natural Sciences, University of Stirling, Scotland, Stirling, FK9 4LA, United Kingdom; University of Trento and Enogis s.r.l., Trento, Italy; Bruno Kessler Foundation, Trento, Italy; HK3 Lab, Rovereto, Italy; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Terrestrial Ecology and Climate Change, Department of Ecology, School of Biology, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Departement of Biology, Unit of Ecology and Evolution, University of Fribourg, Fribourg, CH-1700, Switzerland; National Institute of Environmental Health, Albert Flórián út 2-6, Budapest, 1097, Hungary; Institute of Allergology, Charité, Hindenburgdamm 30, Berlin, 12203, Germany; Institute of Animal Science and Wildlife Management, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Réseau National de Surveillance Aérobiologique, 11 chemin de la Creuzille, Le Plat du Pin, Brussieu, 696905, France; Laboratory of Hygiene and Aerobiology, Department of Medicine and Surgery, University of Parma, U.O. Medicina Interna di Continuità, Azienda Ospedaliero-Universitaria di Parma, Via Gramsci 14, Parma, 43126, Italy; Department of Hygiene and Health Prevention, ATS (Agency for Health Protection of Metropolitan Area of Milan), Hygiene and Public Health Service, via Spagliardi 19, Parabiago, Milan, 20015, Italy; BioSensе Institute - Research Institute for Information Technologies in Biosystems, University of Novi Sad, Dr. Zorana Đinđića 1, Novi Sad, 21000, Serbia; Ministry of Environmental Protection, Environmental Protection Agency, Ruže Jovanoviüa 27a, Belgrade, 11000, Serbia; Federal Department of Home Affairs FDHA, Federal Office of Meteorology and Climatology MeteoSwiss, Operation Center 1, P.O. Box, CH-8058, Zurich-Airport, Switzerland; Lomonosov Moscow State University, Biological Faculty, 1-12 Leninskie Gory, Moscow, 119991, Russian Federation; State Institution (Scientific and Practical Center (SPC) of the State Forensic Examination Committee of the Republic of Belarus, Akademicheskaya Str. 27, Minsk, 220072, Belarus; Teaching Institut of Public Health “Dr Andrija Śtampar”, Zagreb, 10000, Croatia; West University of Timişoara, Blvd. V. Parvan 4, Timişoara, 300223, Romania; Department of Oto-Rhino-Laryngology, HNO Klinik, Medical University of Vienna, Waehringer Guertel 18-20, Vienna, 1090, Austria; National Laboratory of Health, Environment and Food, Center for Environment and Health, Department for Air, Noise, Environmental Impact Assessment and Aerobiology, Grablovičeva ulica 44, Ljubljana, 1000, Slovenia; Pediatric Department, University Hospital and Masaryk University, Brno, Jihlavská 20, Brno, 00, Czech Republic; Jagiellonian University, Medical College, Department of Clinical and Environmental Allergology, ul. Kopernika 15A, Kraków, 31-531, Poland; Institute of Earth Sciences, Faculty of Natural Sciences, University of Silesia in Katowice, Bedzinska 60, Sosnowiec, 41-200, Poland; Aeroallergen Monitoring Centre “AMoC”, Department of Immunology, Rheumatology and Allergy, Medical University of Lodz, Pomorska 251, Lodz, 92-213, Poland; Department of Botany, University of Life Sciences, 13 Akademicka Street, Lublin, 20-950, Poland; Laboratory of Aerobiology, Department of Systematic and Environmental Botany, Faculty of Biology, Adam Mickiewicz University, Poznań, Poland; Allergen Research Center Ltd., Warsaw, Poland; Department of Palaeobotany, Institute of Geological Sciences, University of Wroclaw, Poland; Vilnius University, Siauliai Academy, Vytauto 84, Siauliai, LT-76352, Lithuania; Department of Medical Biology, Zaporizhia State Medical University, Zaporizhia, 69035, Ukraine; National Pirogov Memorial Medical University, Vinnytsya, 56 Pirogov street, Vinnytsia, 21018, Ukraine; Department of Botany, Comenius University, Šafárikovo námestie 6, Bratislava, 81806, Slovakia; UK Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, OX10 8BB, United Kingdom; Orobix Life Srl, Bergamo-Rovereto, Italy","Makra L., Institute of Economics and Rural Development, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Matyasovszky I., Department of Meteorology, Eötvös Loránd University, P.O.B. 32, Budapest, 1518, Hungary; Tusnády G., Alfréd Rényi Institute of Mathematics, P.O.B 127, Budapest, 1364, Hungary; Ziska L.H., Mailman School of Public Health, Columbia University, New York, 10032, NY, United States; Hess J.J., Department of Global Health, University of Washington, Seattle, 98105, WA, United States; Nyúl L.G., Department of Image Processing and Computer Graphics, University of Szeged, P.O.B. 652, Szeged, 6701, Hungary; Chapman D.S., Biological and Environmental Sciences, Faculty of Natural Sciences, University of Stirling, Scotland, Stirling, FK9 4LA, United Kingdom; Coviello L., University of Trento and Enogis s.r.l., Trento, Italy; Gobbi A., Bruno Kessler Foundation, Trento, Italy; Jurman G., Bruno Kessler Foundation, Trento, Italy; Furlanello C., HK3 Lab, Rovereto, Italy, Orobix Life Srl, Bergamo-Rovereto, Italy; Brunato M., Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Damialis A., Terrestrial Ecology and Climate Change, Department of Ecology, School of Biology, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Charalampopoulos A., Terrestrial Ecology and Climate Change, Department of Ecology, School of Biology, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Müller-Schärer H., Departement of Biology, Unit of Ecology and Evolution, University of Fribourg, Fribourg, CH-1700, Switzerland; Schneider N., Institute of Economics and Rural Development, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Szabó B., Institute of Economics and Rural Development, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Sümeghy Z., Institute of Economics and Rural Development, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Páldy A., National Institute of Environmental Health, Albert Flórián út 2-6, Budapest, 1097, Hungary; Magyar D., National Institute of Environmental Health, Albert Flórián út 2-6, Budapest, 1097, Hungary; Bergmann K.-C., Institute of Allergology, Charité, Hindenburgdamm 30, Berlin, 12203, Germany; Deák Á.J., Institute of Economics and Rural Development, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Mikó E., Institute of Animal Science and Wildlife Management, Faculty of Agriculture, University of Szeged, Andrássy út 15, Hódmezővásárhely, 6800, Hungary; Thibaudon M., Réseau National de Surveillance Aérobiologique, 11 chemin de la Creuzille, Le Plat du Pin, Brussieu, 696905, France; Oliver G., Réseau National de Surveillance Aérobiologique, 11 chemin de la Creuzille, Le Plat du Pin, Brussieu, 696905, France; Albertini R., Laboratory of Hygiene and Aerobiology, Department of Medicine and Surgery, University of Parma, U.O. Medicina Interna di Continuità, Azienda Ospedaliero-Universitaria di Parma, Via Gramsci 14, Parma, 43126, Italy; Bonini M., Department of Hygiene and Health Prevention, ATS (Agency for Health Protection of Metropolitan Area of Milan), Hygiene and Public Health Service, via Spagliardi 19, Parabiago, Milan, 20015, Italy; Šikoparija B., BioSensе Institute - Research Institute for Information Technologies in Biosystems, University of Novi Sad, Dr. Zorana Đinđića 1, Novi Sad, 21000, Serbia; Radišić P., BioSensе Institute - Research Institute for Information Technologies in Biosystems, University of Novi Sad, Dr. Zorana Đinđića 1, Novi Sad, 21000, Serbia; Josipović M.M., Ministry of Environmental Protection, Environmental Protection Agency, Ruže Jovanoviüa 27a, Belgrade, 11000, Serbia; Gehrig R., Federal Department of Home Affairs FDHA, Federal Office of Meteorology and Climatology MeteoSwiss, Operation Center 1, P.O. Box, CH-8058, Zurich-Airport, Switzerland; Severova E., Lomonosov Moscow State University, Biological Faculty, 1-12 Leninskie Gory, Moscow, 119991, Russian Federation; Shalaboda V., State Institution (Scientific and Practical Center (SPC) of the State Forensic Examination Committee of the Republic of Belarus, Akademicheskaya Str. 27, Minsk, 220072, Belarus; Stjepanović B., Teaching Institut of Public Health “Dr Andrija Śtampar”, Zagreb, 10000, Croatia; Ianovici N., West University of Timişoara, Blvd. V. Parvan 4, Timişoara, 300223, Romania; Berger U., Department of Oto-Rhino-Laryngology, HNO Klinik, Medical University of Vienna, Waehringer Guertel 18-20, Vienna, 1090, Austria; Seliger A.K., National Laboratory of Health, Environment and Food, Center for Environment and Health, Department for Air, Noise, Environmental Impact Assessment and Aerobiology, Grablovičeva ulica 44, Ljubljana, 1000, Slovenia; Rybníček O., Pediatric Department, University Hospital and Masaryk University, Brno, Jihlavská 20, Brno, 00, Czech Republic; Myszkowska D., Jagiellonian University, Medical College, Department of Clinical and Environmental Allergology, ul. Kopernika 15A, Kraków, 31-531, Poland; Dąbrowska-Zapart K., Institute of Earth Sciences, Faculty of Natural Sciences, University of Silesia in Katowice, Bedzinska 60, Sosnowiec, 41-200, Poland; Majkowska-Wojciechowska B., Aeroallergen Monitoring Centre “AMoC”, Department of Immunology, Rheumatology and Allergy, Medical University of Lodz, Pomorska 251, Lodz, 92-213, Poland; Weryszko-Chmielewska E., Department of Botany, University of Life Sciences, 13 Akademicka Street, Lublin, 20-950, Poland; Grewling Ł., Laboratory of Aerobiology, Department of Systematic and Environmental Botany, Faculty of Biology, Adam Mickiewicz University, Poznań, Poland; Rapiejko P., Allergen Research Center Ltd., Warsaw, Poland; Malkiewicz M., Department of Palaeobotany, Institute of Geological Sciences, University of Wroclaw, Poland; Šaulienė I., Vilnius University, Siauliai Academy, Vytauto 84, Siauliai, LT-76352, Lithuania; Prykhodo O., Department of Medical Biology, Zaporizhia State Medical University, Zaporizhia, 69035, Ukraine; Maleeva A., Department of Medical Biology, Zaporizhia State Medical University, Zaporizhia, 69035, Ukraine; Rodinkova V., National Pirogov Memorial Medical University, Vinnytsya, 56 Pirogov street, Vinnytsia, 21018, Ukraine; Palamarchuk O., National Pirogov Memorial Medical University, Vinnytsya, 56 Pirogov street, Vinnytsia, 21018, Ukraine; Ščevková J., Department of Botany, Comenius University, Šafárikovo námestie 6, Bratislava, 81806, Slovakia; Bullock J.M., UK Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, OX10 8BB, United Kingdom","Article","Scopus"
"Fedorov E.; Karapetyan A.; Rudakov K.; Chepynoha A.","Fedorov, Eugene (47161155900); Karapetyan, Anait (58061128200); Rudakov, Kostiantyn (57205357951); Chepynoha, Anatolii (58735250700)","47161155900; 58061128200; 57205357951; 58735250700","Methods of Parametric Identification Based on Monkey Behavior","2023","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178279826&partnerID=40&md5=7f92c313a5d966b7bfc4a6660c24723c","Cherkasy State Technological University, Shevchenko blvd., 460, Cherkasy, 18006, Ukraine","Fedorov E., Cherkasy State Technological University, Shevchenko blvd., 460, Cherkasy, 18006, Ukraine; Karapetyan A., Cherkasy State Technological University, Shevchenko blvd., 460, Cherkasy, 18006, Ukraine; Rudakov K., Cherkasy State Technological University, Shevchenko blvd., 460, Cherkasy, 18006, Ukraine; Chepynoha A., Cherkasy State Technological University, Shevchenko blvd., 460, Cherkasy, 18006, Ukraine","Conference paper","Scopus"
"Villar-Hernández R.; Ghodousi A.; Konstantynovska O.; Duarte R.; Lange C.; Raviglione M.","Villar-Hernández, Raquel (57188717618); Ghodousi, Arash (57202720307); Konstantynovska, Olha (57195952913); Duarte, Raquel (27267515900); Lange, Christoph (55516057600); Raviglione, Mario (7005086744)","57188717618; 57202720307; 57195952913; 27267515900; 55516057600; 7005086744","Tuberculosis: current challenges and beyond","2023","1","10.1183/20734735.0166-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158121038&doi=10.1183%2f20734735.0166-2022&partnerID=40&md5=cb772bd3d8a74b3b4add503237232882","Institut d’Investigació Germans Trias i Pujol, Barcelona, Spain; Genome Identification Diagnostics GmbH (GenID), Straßberg, Germany; Vita-Salute San Raffaele University, Milan, Italy; V.N. Karazin Kharkiv National University, Kharkiv, Ukraine; EPI Unit, Instituto de Saúde Pública da Universidade do Porto, Porto, Portugal; Unidade de Investigação Clínica da Administração Regional de Saúde do Norte, Porto, Portugal; Instituto de Ciências Biomédicas Abel Salazar (ICBAS), Universidade do Porto, Porto, Portugal; Serviço de Pneumologia, Centro Hospitalar de Vila Nova de Gaia/Espinho, Vila Nova de Gaia, Portugal; Division of Clinical Infectious Diseases, Research Center Borstel, Borstel, Germany; German Center for Infection Research (DZIF) Partner Site Borstel-Hamburg-Lübeck-Riems, Borstel, Germany; Respiratory Medicine and International Health, University of Lübeck, Lübeck, Germany; Cluster of Excellence Precision Medicine in Chronic Inflammation, Kiel, Germany; Department of Medicine, Karolinska Institute, Stockholm, Sweden; Centre for Multidisciplinary Research in Health Science, University of Milan, Milan, Italy","Villar-Hernández R., Institut d’Investigació Germans Trias i Pujol, Barcelona, Spain, Genome Identification Diagnostics GmbH (GenID), Straßberg, Germany; Ghodousi A., Vita-Salute San Raffaele University, Milan, Italy; Konstantynovska O., V.N. Karazin Kharkiv National University, Kharkiv, Ukraine; Duarte R., EPI Unit, Instituto de Saúde Pública da Universidade do Porto, Porto, Portugal, Unidade de Investigação Clínica da Administração Regional de Saúde do Norte, Porto, Portugal, Instituto de Ciências Biomédicas Abel Salazar (ICBAS), Universidade do Porto, Porto, Portugal, Serviço de Pneumologia, Centro Hospitalar de Vila Nova de Gaia/Espinho, Vila Nova de Gaia, Portugal; Lange C., Division of Clinical Infectious Diseases, Research Center Borstel, Borstel, Germany, German Center for Infection Research (DZIF) Partner Site Borstel-Hamburg-Lübeck-Riems, Borstel, Germany, Respiratory Medicine and International Health, University of Lübeck, Lübeck, Germany, Cluster of Excellence Precision Medicine in Chronic Inflammation, Kiel, Germany, Department of Medicine, Karolinska Institute, Stockholm, Sweden; Raviglione M., Centre for Multidisciplinary Research in Health Science, University of Milan, Milan, Italy","Article","Scopus"
"Rolik O.; Omelchenko V.","Rolik, Oleksandr (57191405413); Omelchenko, Vitalii (58734558800)","57191405413; 58734558800","Workloads Prediction Methods for Proactive Resource Scaling in Kubernetes","2023","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178314915&partnerID=40&md5=7817ef8f3b83a7c2692678fabab2859c","National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine","Rolik O., National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine; Omelchenko V., National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine","Conference paper","Scopus"
"Anishchenko M.A.; Gidenko I.; Kaliman M.; Polyvaniuk V.; Demianchuk Y.V.","Anishchenko, Mykhailo A. (57215114188); Gidenko, Ievgen (58303061900); Kaliman, Maksym (58303423800); Polyvaniuk, Vasyl (58303062000); Demianchuk, Yurii V. (7801687199)","57215114188; 58303061900; 58303423800; 58303062000; 7801687199","ARTIFICIAL INTELLIGENCE IN MEDICINE: LEGAL, ETHICAL AND SOCIAL ASPECTS; [Inteligência artificial em medicina: aspectos legais, éticos e sociais]; [Inteligencia artificial en medicina: aspectos jurídicos, éticos y sociales]","2023","0","10.4067/S1726-569X2023000100063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161057778&doi=10.4067%2fS1726-569X2023000100063&partnerID=40&md5=d63e6a9d699521de911982a705c49246","Department of Social Medicine, Public Health, Medical and Pharmaceutical law of Zaporizhzhia State Medical University, Zaporizhzhia, Ukraine; Department of Tactical Special Training of Dnipropetrovsk State University of Internal Affairs, Ukraine; Department of Law and Social and Behavioral Sciences of the Bila Tserkva Institute of Economics and Management of the Open International University of Human Development “Ukraine”, Ukraine","Anishchenko M.A., Department of Social Medicine, Public Health, Medical and Pharmaceutical law of Zaporizhzhia State Medical University, Zaporizhzhia, Ukraine; Gidenko I., Department of Tactical Special Training of Dnipropetrovsk State University of Internal Affairs, Ukraine; Kaliman M., Department of Tactical Special Training of Dnipropetrovsk State University of Internal Affairs, Ukraine; Polyvaniuk V., Department of Tactical Special Training of Dnipropetrovsk State University of Internal Affairs, Ukraine; Demianchuk Y.V., Department of Law and Social and Behavioral Sciences of the Bila Tserkva Institute of Economics and Management of the Open International University of Human Development “Ukraine”, Ukraine","Article","Scopus"
"Kanivets I.M.; Kanivets O.V.; Gorda T.M.","Kanivets, Irina M. (57214945994); Kanivets, Oleksandr V. (57214947072); Gorda, Tetyana M. (57214947104)","57214945994; 57214947072; 57214947104","VR simulator for studying the structure of tractors","2023","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178379706&partnerID=40&md5=1b9d24dd09fce45c027e475b18b3259e","Poltava State Agrarian University, 1/3 Skovorody Str., Poltava, 36003, Ukraine; Poltava Polytechnic Vocational College, 83a Pushkin Str., Poltava, 36000, Ukraine","Kanivets I.M., Poltava State Agrarian University, 1/3 Skovorody Str., Poltava, 36003, Ukraine; Kanivets O.V., Poltava State Agrarian University, 1/3 Skovorody Str., Poltava, 36003, Ukraine; Gorda T.M., Poltava Polytechnic Vocational College, 83a Pushkin Str., Poltava, 36000, Ukraine","Conference paper","Scopus"
"Timofieva N.K.","Timofieva, N.K. (58113601400)","58113601400","Artificial Intelligence Problems and Combinatorial Optimization","2023","0","10.1007/s10559-023-00586-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165884259&doi=10.1007%2fs10559-023-00586-y&partnerID=40&md5=10c9608d259c197fe708c78e1a0c4d1f","International Research and Training Center for Information Technologies and Systems, NAS of Ukraine and MES of Ukraine, Kyiv, Ukraine","Timofieva N.K., International Research and Training Center for Information Technologies and Systems, NAS of Ukraine and MES of Ukraine, Kyiv, Ukraine","Article","Scopus"
